time	wordtype	count
2016-05-07 00:16:31	X1	0
2016-05-07 00:14:54	X1	0
2016-05-06 23:16:36	X1	0
2016-05-06 23:16:17	X1	0
2016-05-06 23:15:58	X1	0
2016-05-06 21:01:44	X1	0
2016-05-06 18:25:27	X1	1
2016-05-06 18:03:34	X1	0
2016-05-06 16:08:23	X1	0
2016-05-06 12:38:38	X1	1
2016-05-06 12:08:37	X1	0
2016-05-06 11:50:19	X1	0
2016-05-06 10:26:43	X1	0
2016-05-06 10:19:08	X1	0
2016-05-06 10:14:56	X1	1
2016-05-06 03:19:09	X1	1
2016-05-06 01:57:05	X1	1
2016-05-05 23:28:31	X1	0
2016-05-05 19:30:32	X1	0
2016-05-05 18:57:30	X1	1
2016-05-05 18:37:47	X1	0
2016-05-05 14:29:40	X1	0
2016-05-04 16:31:05	X1	0
2016-05-04 10:12:54	X1	0
2016-05-04 10:09:36	X1	0
2016-05-04 10:04:23	X1	0
2016-05-04 09:44:28	X1	0
2016-05-04 09:25:10	X1	0
2016-05-04 04:00:46	X1	0
2016-05-03 23:38:34	X1	1
2016-05-03 23:14:30	X1	0
2016-05-03 23:08:44	X1	1
2016-05-03 23:02:55	X1	0
2016-05-03 18:29:03	X1	0
2016-05-03 16:50:10	X1	1
2016-05-03 15:31:51	X1	0
2016-05-03 15:21:33	X1	0
2016-05-03 14:22:18	X1	0
2016-05-03 11:23:58	X1	0
2016-05-03 02:11:22	X1	0
2016-05-02 22:24:06	X1	0
2016-05-02 21:56:36	X1	0
2016-05-02 21:50:17	X1	0
2016-05-02 21:42:54	X1	0
2016-05-02 19:57:55	X1	0
2016-05-02 16:16:14	X1	0
2016-05-02 14:27:51	X1	0
2016-05-02 14:06:30	X1	0
2016-05-02 11:21:02	X1	0
2016-05-02 11:12:40	X1	0
2016-05-02 10:42:59	X1	0
2016-05-01 23:37:17	X1	0
2016-05-01 21:31:05	X1	0
2016-05-01 21:29:09	X1	0
2016-05-01 20:06:16	X1	0
2016-05-01 16:29:26	X1	0
2016-05-01 16:10:45	X1	0
2016-05-01 15:47:29	X1	0
2016-05-01 13:59:20	X1	0
2016-05-01 03:10:35	X1	0
2016-04-30 23:33:19	X1	0
2016-04-30 20:50:42	X1	1
2016-04-30 17:21:35	X1	0
2016-04-30 15:53:30	X1	0
2016-04-30 13:31:13	X1	0
2016-04-30 03:07:59	X1	0
2016-04-29 18:28:05	X1	1
2016-04-29 16:04:46	X1	0
2016-04-29 13:46:49	X1	0
2016-04-29 11:22:04	X1	0
2016-04-26 19:55:15	X1	0
2016-04-26 18:12:15	X1	0
2016-04-26 18:12:06	X1	0
2016-04-26 18:05:25	X1	0
2016-04-26 18:03:39	X1	0
2016-04-26 18:02:10	X1	0
2016-04-26 17:43:15	X1	0
2016-04-26 16:18:18	X1	0
2016-04-26 16:07:35	X1	0
2016-04-26 13:33:24	X1	0
2016-04-26 12:47:24	X1	0
2016-04-26 10:42:39	X1	0
2016-04-26 01:52:16	X1	0
2016-04-26 01:28:08	X1	0
2016-04-25 22:11:06	X1	1
2016-04-25 22:06:26	X1	0
2016-04-25 21:54:55	X1	0
2016-04-25 16:16:27	X1	0
2016-04-25 16:15:58	X1	0
2016-04-25 11:59:06	X1	1
2016-04-25 11:54:21	X1	0
2016-04-25 03:49:17	X1	0
2016-04-25 03:39:58	X1	0
2016-04-25 01:27:12	X1	0
2016-04-24 14:05:43	X1	0
2016-04-24 14:03:48	X1	0
2016-04-24 14:01:37	X1	0
2016-04-24 13:58:53	X1	0
2016-04-24 02:01:25	X1	0
2016-04-24 01:48:17	X1	1
2016-04-24 01:41:57	X1	0
2016-04-24 00:55:43	X1	0
2016-04-23 20:29:50	X1	0
2016-04-23 19:30:58	X1	0
2016-04-23 19:27:18	X1	0
2016-04-23 16:10:15	X1	0
2016-04-23 14:44:49	X1	0
2016-04-23 13:58:30	X1	0
2016-04-23 12:37:16	X1	0
2016-04-23 01:17:58	X1	0
2016-04-23 00:03:07	X1	0
2016-04-22 23:33:20	X1	0
2016-04-22 22:21:03	X1	0
2016-04-22 17:35:37	X1	0
2016-04-22 15:00:11	X1	0
2016-04-21 22:16:27	X1	0
2016-04-21 21:47:21	X1	0
2016-04-21 10:22:03	X1	0
2016-04-21 10:14:48	X1	0
2016-04-21 02:26:19	X1	0
2016-04-21 01:58:27	X1	0
2016-04-21 01:58:17	X1	0
2016-04-20 22:50:04	X1	0
2016-04-20 16:05:36	X1	0
2016-04-20 15:03:10	X1	0
2016-04-20 12:42:59	X1	1
2016-04-20 03:58:30	X1	0
2016-04-20 03:31:23	X1	0
2016-04-20 03:22:19	X1	0
2016-04-20 01:08:36	X1	0
2016-04-20 00:54:52	X1	0
2016-04-20 00:03:37	X1	1
2016-04-19 23:51:21	X1	1
